Name,Price(in Nrs),Transmisson,Colour,Make Year,Mileage,Engine(CC),Fuel,Kilometer Run
Isuzu Dmax Vcross (Other Brands),5200000,Manual4WD,other,2017,15.0,2499,Diesel,60000
Hyundai i20 Active S|2017| Urgent sale| Full fresh (Hyundai),2725000,Manual2WD,white,2017,14.0,1200,Petrol,30000
Hyundai Xcent Sx O 2014 (Hyundai),2050000,Manual2WD,other,2014,15.0,1196,Petrol,54383
Maruti suzuki wagoner 2015 (Maruti Suzuki),1455000,Manual2WD,other,2015,15.0,1000,Petrol,52000
Maruti Suzuki swift dzire 2009 ON SALE (Maruti Suzuki),1170000,Auto2WD,blue,2009,15.0,1200,Petrol,85000
TATA 1109 (Tata),2799000,Manual2WD,white,2018,15.0,3700,Diesel,90000
गाडी बिक्रीमा (Mahindra),2100000,Manual4WD,white,2015,15.0,2200,Diesel,64000
Scorpio S4+ (Mahindra),3850000,Manual4WD,other,2017,15.0,2200,Diesel,5600
Car sell on urgent (Honda),1290000,Manual4WD,other,2007,13.0,1350,Petrol,75000
PROTON WIRA (2003) (Other Brands),575000,Manual2WD,other,2003,15.0,1498,Petrol,19000
picanto silver (Kia),1050000,Manual2WD,silver,2009,15.0,1100,Petrol,83000
Ford figo titanium 2015 (Ford),1250000,Auto2WD,other,2015,15.0,1200,Petrol,50000
Renault duster RXS 2018 (Renault),2500000,Manual2WD,other,2018,15.0,1500,Petrol,50000
Picanto 2008 Silver full option (Kia),900000,Manual2WD,silver,2008,14.0,1100,Petrol,53000
2013 model ford figo singlehand sale or exng bikes (Ford),1250000,Manual2WD,other,2013,15.0,1200,Petrol,43000
2019 Hyundai Grand i10 Sportz (Hyundai),2575000,Manual2WD,other,2019,15.0,1197,Petrol,20000
Mahindra xuv 500 w10 2016 model for sale (Mahindra),3850000,Manual4WD,other,2016,15.0,2200,Diesel,53000
Grand I 10 Magna 1.2 (2019 Model) (Hyundai),2550000,Manual2WD,other,2019,16.0,1196,Petrol,17000
TATA VISTA 2010 FOR SALE (Tata),700000,Manual2WD,other,2010,15.0,1300,Petrol,84000
Mazda 3 (Mazda),1275000,Manual2WD,grey,2005,14.0,1600,Petrol,36000
toyota corolla old vintage 1975 car (Toyota),500000,Manual4WD,other,1975,15.0,1200,Petrol,50000
"2006 model suzuki japanese vitara 4wd,fully loaded (Maruti Suzuki)",1950000,Manual4WD,other,2006,15.0,2000,Petrol,75000
Urgent sale Maruti van 2018 Model good condition (Maruti Suzuki),700000,Auto4WD,white,2018,15.0,796,Petrol,63000
SWIFT LXI 2005 (Urgent Sale ) All Tax cleared (Maruti Suzuki),899999,Manual2WD,other,2005,15.0,1200,Petrol,70000
Hyundai creta sxo petrol 2019 (Hyundai),4850000,Manual2WD,other,2019,14.0,1598,Petrol,41000
four sale swift zxi 2017 model (Maruti Suzuki),2250000,Manual2WD,other,2017,15.0,1200,Petrol,35680
pick up van bikrima (Maruti Suzuki),200000,Manual2WD,white,1999,16.0,800,Petrol,20000
Brezza Zxi + petrol 2021 Single owner 9851138810 (Maruti Suzuki),3975000,Manual2WD,other,2021,15.0,1500,Petrol,18500
Santro (Hyundai),1250000,Manual2WD,other,2009,13.0,1096,Petrol,78000
sales (Mahindra),1200000,Manual2WD,white,2016,15.0,2523,Diesel,127130
Hilux 2010 (Toyota),3500000,Manual4WD,other,2010,15.0,2500,Diesel,100000
Car (Volkswagen),1490000,Auto4WD,other,2011,14.0,1600,Petrol,38000
I10 on sale (Hyundai),1600000,Manual2WD,other,2012,14.5,1100,Petrol,33000
Hyundai i20 active 2016 model in sell (Hyundai),2650000,Manual2WD,white,2016,15.0,1200,Petrol,40000
Nissan Datsun Redi Go Brand New Condition 5000k (Datsun),1750000,Manual2WD,other,2021,15.0,1000,Petrol,5000
Kia picanto 2008 (Kia),880000,PowerSteering,other,2008,15.0,1086,Petrol,70000
